1: MichaelBradley 68.506359; 90% interval: (68.168512, 71.818313)
2: MikeWeir 68.568669; 90% interval: (66.959685, 71.818313)
3: SteveFriesen 68.870070; 90% interval: (67.704821, 71.818313)
4: FrankBensel 68.932266; 90% interval: (68.868960, 71.065689)
5: UlyGrisette 68.988229; 90% interval: (67.596112, 71.818313)
6: DaisukeMaruyama 69.113726; 90% interval: (68.885119, 70.123087)
7: PaulAzinger 69.162171; 90% interval: (68.837082, 71.818313)
8: DavidLundstrom 69.181070; 90% interval: (66.685543, 71.818313)
9: HidemichiTanaka 69.278051; 90% interval: (69.116481, 71.818313)
10: ShingoKatayama 69.298395; 90% interval: (69.126480, 71.818313)
11: StevePate 69.351512; 90% interval: (68.939396, 71.818313)
12: TimWeinhart 69.392191; 90% interval: (69.286460, 71.818313)
13: TimClark 69.411385; 90% interval: (69.409706, 71.818313)
14: EliZackheim 69.486368; 90% interval: (68.492158, 71.818313)
15: RichBarcelo 69.527088; 90% interval: (69.044752, 71.818313)
16: AndrewTschudin 69.538215; 90% interval: (68.586921, 71.818313)
17: JohnBermel 69.541728; 90% interval: (68.789114, 70.231573)
18: CoreyPavin 69.552189; 90% interval: (68.185304, 71.818313)
19: CaseyWittenberg 69.560493; 90% interval: (69.505436, 71.818313)
20: NiclasFasth 69.579653; 90% interval: (68.374874, 71.818313)
21: TjaartvanderWalt 69.600698; 90% interval: (69.235911, 71.818313)
22: PaulCasey 69.637141; 90% interval: (68.408158, 71.818313)
23: MarcBourgeois 69.662738; 90% interval: (69.094244, 71.818313)
24: MarkWilson 69.680859; 90% interval: (69.119579, 71.818313)
25: RonSkayhan 69.761229; 90% interval: (69.448067, 72.962121)
26: VaughnTaylor 69.780973; 90% interval: (69.280210, 71.818313)
27: HirofumiMiyase 69.802559; 90% interval: (69.023879, 71.818313)
28: SpikeMcRoy 69.802674; 90% interval: (69.687027, 71.821631)
29: JustinLeonard 69.802944; 90% interval: (69.333309, 71.818313)
30: DavidChurch 69.818740; 90% interval: (69.673417, 71.818313)
31: CarlPettersson 69.818787; 90% interval: (69.686998, 71.818313)
