1: CharletonDechert 63.059197; 90% interval: (61.932321, 68.114029)
2: BrettQuigley 63.823470; 90% interval: (61.957505, 70.118672)
3: WilliamLinkIV 64.433450; 90% interval: (61.821228, 71.814321)
4: JeffBrehaut 64.435480; 90% interval: (61.659941, 70.291198)
5: BrendanJones 64.467350; 90% interval: (61.866006, 71.142384)
6: KevinDurkin 64.719385; 90% interval: (61.392781, 70.201949)
7: ChrisStroud 64.721479; 90% interval: (63.019291, 71.818313)
8: TommyTolles 64.784650; 90% interval: (62.335474, 71.682574)
9: PatPerez 64.878027; 90% interval: (63.038874, 69.531869)
10: PaulMcGinley 64.933665; 90% interval: (63.304477, 70.212636)
11: CharlieBrown 65.058171; 90% interval: (62.938865, 71.818313)
12: PhilTataurangi 65.092883; 90% interval: (63.116169, 71.767339)
13: KrisCox 65.105799; 90% interval: (61.820195, 71.818313)
14: CraigStadler 65.184851; 90% interval: (63.240783, 70.700441)
15: TommyArmourIII 65.187960; 90% interval: (62.376763, 70.057299)
16: FredCouples 65.257018; 90% interval: (61.891374, 72.451980)
17: KevinStadler 65.599939; 90% interval: (63.590956, 71.818313)
18: MikeNorthern 65.814480; 90% interval: (64.374979, 69.479067)
19: DaveRummells 65.843338; 90% interval: (62.669374, 72.223612)
20: BenCrane 65.851534; 90% interval: (62.625200, 70.312898)
21: CraigParry 65.851738; 90% interval: (63.354432, 71.818313)
22: JeffMaggert 65.919391; 90% interval: (63.272810, 72.558943)
23: GabrielHjertstedt 66.032930; 90% interval: (63.550464, 71.695733)
24: DannyBriggs 66.038743; 90% interval: (61.924156, 72.866118)
25: KeiichiroFukabori 66.062549; 90% interval: (61.937482, 71.263011)
26: CaseyMartin 66.067801; 90% interval: (63.762999, 71.649991)
27: BradleyHeaven 66.079428; 90% interval: (62.057579, 72.527928)
28: CharleyHoffman 66.208397; 90% interval: (61.975195, 71.818313)
29: JimFuryk 66.244215; 90% interval: (61.999777, 72.463129)
30: TonyRohlik 66.269573; 90% interval: (63.008523, 71.818313)
31: JesperParnevik 66.349850; 90% interval: (64.194271, 71.119216)
32: FredFunk 66.600933; 90% interval: (62.397121, 71.193458)
33: DavidMathis 66.641240; 90% interval: (63.674639, 71.012891)
34: BarryLane 66.669917; 90% interval: (62.264843, 72.093074)
35: RichBeem 66.669959; 90% interval: (65.742167, 72.038234)
36: MikeSposa 66.709525; 90% interval: (64.527093, 70.935762)
37: ScottDrummond 66.746363; 90% interval: (63.382127, 70.553485)
38: KenDuke 66.757423; 90% interval: (62.643456, 70.365092)
39: JoseMariaOlazabal 66.758257; 90% interval: (62.349215, 71.313818)
40: BobbyKalinowski 66.795810; 90% interval: (64.341047, 71.818313)
41: PaulGoydos 66.848157; 90% interval: (65.417537, 70.933541)
42: TjaartvanderWalt 66.988166; 90% interval: (64.768796, 70.924978)
43: JayWilliamson 67.003391; 90% interval: (65.823759, 70.001785)
44: DavidLundstrom 67.005941; 90% interval: (63.957935, 72.016170)
45: PeterSenior 67.012405; 90% interval: (62.229706, 71.427592)
46: KevinStreelman 67.029569; 90% interval: (64.897782, 71.818313)
47: HidemichiTanaka 67.058528; 90% interval: (62.063716, 71.818313)
48: DelPonchock 67.076054; 90% interval: (64.900969, 69.262927)
49: JyotiRandhawa 67.112955; 90% interval: (64.477695, 72.193796)
50: MarcGirouard 67.193505; 90% interval: (64.966594, 71.165098)
51: HirofumiMiyase 67.281211; 90% interval: (65.303061, 69.104997)
52: AndyMorse 67.287293; 90% interval: (64.934489, 70.797834)
53: EdwardLoar 67.288893; 90% interval: (66.602390, 71.818313)
54: DavidHowser 67.329609; 90% interval: (63.815385, 71.284020)
55: SteveVecellio 67.347738; 90% interval: (62.486659, 70.686683)
56: JJWall 67.442056; 90% interval: (63.979420, 71.818313)
57: JayOverton 67.481281; 90% interval: (62.137484, 71.041079)
58: NathanFritz 67.493219; 90% interval: (64.039576, 69.986787)
59: JeffCoston 67.496329; 90% interval: (62.272377, 72.905373)
60: PhilBlackmar 67.548873; 90% interval: (65.483204, 72.312096)
61: BradElder 67.659751; 90% interval: (63.875139, 70.723667)
62: DavidPeoples 67.669610; 90% interval: (61.981795, 71.673493)
63: GeorgeBurns 67.669785; 90% interval: (65.794460, 71.818313)
64: PhilMickelson 67.712236; 90% interval: (63.357682, 70.888927)
65: JerryKelly 67.721679; 90% interval: (64.200169, 71.605266)
66: BobEstes 67.774919; 90% interval: (62.243379, 71.696265)
67: RonSkayhan 67.780456; 90% interval: (62.553032, 71.537956)
