1: DavidFaught 35.567460; 90% interval: (28.085181, 64.012255)
2: JoeOgilvie 37.690226; 90% interval: (29.178827, 60.071037)
3: VanceVeazey 37.803001; 90% interval: (21.383958, 71.586654)
4: BrianDixon 40.833441; 90% interval: (26.970465, 65.075742)
5: KevinStadler 42.298471; 90% interval: (24.054469, 75.066460)
6: RobertDeruntz 42.535868; 90% interval: (31.368566, 63.595836)
7: BobTway 42.794322; 90% interval: (36.734639, 65.448897)
8: CaseyWittenberg 43.693175; 90% interval: (38.414358, 64.497341)
9: ToddBarranger 44.153859; 90% interval: (29.675191, 64.137654)
10: LorenPersonett 44.681982; 90% interval: (36.007485, 66.985873)
11: GeorgeBradford 45.015033; 90% interval: (37.654224, 57.158496)
12: HeathWassem 46.692157; 90% interval: (30.051232, 69.628612)
13: AlanSchulte 46.747729; 90% interval: (38.460152, 67.208702)
14: KenDuke 47.436599; 90% interval: (31.191170, 65.038799)
15: JasonHartwick 47.818451; 90% interval: (25.821819, 66.616900)
16: JerryHaas 48.288022; 90% interval: (37.785444, 77.843864)
17: MikeSpringer 48.740306; 90% interval: (34.378786, 64.674751)
18: CoreyPavin 49.190425; 90% interval: (30.425542, 70.398631)
19: JoakimHaeggman 49.208422; 90% interval: (24.304110, 65.531544)
20: MarkWilson 49.611013; 90% interval: (41.742673, 70.491300)
21: BrianHarman 50.123351; 90% interval: (42.828896, 67.747448)
22: FrankVana 50.266790; 90% interval: (41.758288, 70.404428)
23: JoeAffrunti 50.882951; 90% interval: (38.013140, 73.479764)
24: CharleyHoffman 51.016497; 90% interval: (33.777126, 65.376431)
25: DanForsman 51.280114; 90% interval: (30.785752, 71.002162)
26: MichaelHenderson 51.458594; 90% interval: (40.145173, 64.591319)
27: StuartAppleby 51.788469; 90% interval: (19.776071, 64.196170)
28: OscarAlvarez 52.178936; 90% interval: (46.547058, 62.045424)
29: MarkHensby 52.858629; 90% interval: (46.680795, 66.080850)
30: TomKite 52.900553; 90% interval: (33.860646, 65.408963)
31: TimThelen 53.040447; 90% interval: (37.948078, 73.053407)
